patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,good_matches,blur,flow
31,14,1.2,8,0,1008,1008,212,114.989452353246,3.998109
31,14,1.2,8,0,1014,1014,188,124.92136889349881,5.356034
31,14,1.2,8,0,1010,1010,245,116.10315722606866,3.5576
31,14,1.2,8,0,1048,1048,203,140.1101029671442,3.795074
31,14,1.2,8,0,1016,1016,190,117.05455330207276,4.8114343
31,14,1.2,8,0,1003,1003,148,127.12598454099232,5.3306594
31,14,1.2,8,0,1000,1000,193,116.76284717080557,4.6301823
31,14,1.2,8,0,1013,1013,192,139.91954515103,4.060975
31,14,1.2,8,0,986,986,214,117.87838342481915,4.1101136
31,14,1.2,8,0,1023,1023,183,129.5065956647142,5.245386
31,14,1.2,8,0,1029,1029,150,117.6704953379631,6.097115
31,14,1.2,8,0,1037,1037,198,143.04428032403203,4.3784566
31,14,1.2,8,0,990,990,190,120.42178592912978,4.100315
31,14,1.2,8,0,985,985,197,131.0097788441337,4.4140444
31,14,1.2,8,0,932,932,158,118.23851047630522,4.592687
31,14,1.2,8,0,915,915,165,141.6885804257975,4.592194
31,14,1.2,8,0,927,927,156,121.8696238778632,5.214418
31,14,1.2,8,0,921,921,149,133.3919954573517,4.6886
31,14,1.2,8,0,923,923,171,125.56186273571025,4.3628287
31,14,1.2,8,0,944,944,175,149.84638351760418,4.6468453
31,14,1.2,8,0,903,903,212,129.2020643558581,3.6988149
31,14,1.2,8,0,928,928,232,141.02520563633752,3.8730173
31,14,1.2,8,0,949,949,172,130.3628345422537,4.912919
31,14,1.2,8,0,989,989,215,158.44811270011803,3.751397
31,14,1.2,8,0,972,972,178,136.7378261038999,4.9191513
31,14,1.2,8,0,953,953,286,147.04951383162856,3.2223105
31,14,1.2,8,0,932,932,170,137.78436866240125,4.667313
31,14,1.2,8,0,960,960,226,163.00650266742375,3.5799468
31,14,1.2,8,0,910,910,154,141.69009622363626,5.394
31,14,1.2,8,0,942,942,176,148.86350606695123,4.4340067
31,14,1.2,8,0,964,964,252,139.9058612431788,3.0903225
31,14,1.2,8,0,989,989,210,165.97985099164325,3.5798838
31,14,1.2,8,0,959,959,271,142.0614125577399,3.1438093
31,14,1.2,8,0,998,998,191,152.38802950634033,4.5549097
31,14,1.2,8,0,1062,1062,262,145.02042650858806,3.3769674
31,14,1.2,8,0,1062,1062,186,170.11789570688484,4.9315777
31,14,1.2,8,0,1078,1078,219,149.40208295054515,4.8502126
31,14,1.2,8,0,1085,1085,223,164.76134851457368,4.660774
31,14,1.2,8,0,1050,1050,279,159.4147325354538,3.491936
31,14,1.2,8,0,1133,1133,249,186.68760465498787,3.9286475
31,14,1.2,8,0,1086,1086,218,156.95912325687607,5.5356135
31,14,1.2,8,0,1126,1126,174,180.47827545258528,6.1783524
31,14,1.2,8,0,1081,1081,263,171.1782826207195,3.7666032
31,14,1.2,8,0,1140,1140,251,194.91525205113257,3.8344915
31,14,1.2,8,0,1118,1118,271,162.59102646320133,4.2559366
31,14,1.2,8,0,1156,1156,273,176.77867093433883,4.347604
31,14,1.2,8,0,1149,1149,205,164.93373237419766,6.4151335
31,14,1.2,8,0,1178,1178,214,191.8092852212416,4.7931223
31,14,1.2,8,0,1166,1166,282,161.9279442799027,3.4107215
31,14,1.2,8,0,1180,1180,266,173.08484096044293,4.3431187
31,14,1.2,8,0,1187,1187,269,164.0989423284657,3.4782941
31,14,1.2,8,0,1231,1231,282,188.65568150914515,4.092284
31,14,1.2,8,0,1221,1221,300,158.5429418741131,3.941203
31,14,1.2,8,0,1204,1204,250,171.22119717399582,4.7801805
31,14,1.2,8,0,1226,1226,245,153.53212804002695,4.839033
31,14,1.2,8,0,1246,1246,261,188.13884320264887,4.860915
31,14,1.2,8,0,1231,1231,255,162.22502134068915,4.997098
31,14,1.2,8,0,1236,1236,282,175.42711805792575,3.59208
31,14,1.2,8,0,1251,1251,234,161.72325373014033,5.46194
31,14,1.2,8,0,1272,1272,266,192.76878812840056,3.84841
31,14,1.2,8,0,1203,1203,285,164.6999100483335,4.3993444
31,14,1.2,8,0,1303,1303,269,182.72798866745657,5.9789267
31,14,1.2,8,0,1286,1286,282,171.26783755420587,5.7286077
31,14,1.2,8,0,1289,1289,293,205.39823100332572,5.6120653
31,14,1.2,8,0,1318,1318,261,181.57635153477355,6.0069737
31,14,1.2,8,0,1328,1328,324,195.10930361303448,4.8480906
31,14,1.2,8,0,1338,1338,351,180.20252991642093,4.0318093
31,14,1.2,8,0,1373,1373,401,213.25944099019762,4.1870847
31,14,1.2,8,0,1368,1368,396,178.0495180353692,3.9032211
31,14,1.2,8,0,1386,1386,344,196.77590597858716,4.3287473
31,14,1.2,8,0,1352,1352,304,181.4220566870548,4.716524
31,14,1.2,8,0,1446,1446,329,215.36295667121,4.665514
31,14,1.2,8,0,1387,1387,351,193.94658781846854,4.2144423
31,14,1.2,8,0,1431,1431,317,205.91586554810743,5.1164837
31,14,1.2,8,0,1443,1443,337,195.01237329060172,5.118292
31,14,1.2,8,0,1484,1484,326,231.54638836622536,5.0080786
31,14,1.2,8,0,1468,1468,367,196.39577660228872,5.023906
31,14,1.2,8,0,1457,1457,470,214.79139028921847,3.7568934
31,14,1.2,8,0,1479,1479,372,195.61449757575565,4.9497232
31,14,1.2,8,0,1497,1497,450,231.72845451064964,4.1328483
31,14,1.2,8,0,1457,1457,442,197.74069474534187,6.0670576
31,14,1.2,8,0,1522,1522,379,224.48508952570003,4.1333284
31,14,1.2,8,0,1456,1456,409,209.58964498156405,4.5692277
31,14,1.2,8,0,1522,1522,343,247.04278976625827,6.8868556
31,14,1.2,8,0,1512,1512,416,227.89004121628824,4.692185
31,14,1.2,8,0,1535,1535,428,245.30753448755706,4.087521
31,14,1.2,8,0,1541,1541,385,222.80845297039457,4.501532
31,14,1.2,8,0,1555,1555,340,265.8638274986843,4.7435718
31,14,1.2,8,0,1525,1525,363,227.099649546458,5.89138
31,14,1.2,8,0,1571,1571,473,246.06684021261813,4.721064
31,14,1.2,8,0,1559,1559,338,229.67118134199245,6.7581453
31,14,1.2,8,0,1578,1578,320,261.66689409857395,6.982525
31,14,1.2,8,0,1561,1561,455,226.31120053884348,4.5325994
31,14,1.2,8,0,1626,1626,483,245.91951523177772,4.247609
31,14,1.2,8,0,1596,1596,369,225.46802552646528,6.042826
31,14,1.2,8,0,1662,1662,392,254.56804309425112,6.253268
31,14,1.2,8,0,1652,1652,393,220.0889058389826,6.214527
31,14,1.2,8,0,1686,1686,467,239.13600074394182,4.540501
31,14,1.2,8,0,1694,1694,473,220.84508776654096,5.047339
31,14,1.2,8,0,1700,1700,478,251.93925360999998,5.488509
31,14,1.2,8,0,1724,1724,467,210.80955431228435,5.4432373
31,14,1.2,8,0,1712,1712,382,233.91128295323654,6.0415406
31,14,1.2,8,0,1733,1733,424,209.5829336056075,6.9010987
31,14,1.2,8,0,1753,1753,554,242.23212306737366,4.5506268
31,14,1.2,8,0,1747,1747,456,217.37240299062555,5.356787
31,14,1.2,8,0,1724,1724,281,229.61456603587578,7.328395
31,14,1.2,8,0,1732,1732,509,257.0588946704767,4.462077
31,14,1.2,8,0,1754,1754,515,198.92405624905683,4.7114396
31,14,1.2,8,0,1786,1786,436,228.8563997197547,4.7825994
31,14,1.2,8,0,1772,1772,433,190.20624868809392,3.9937716
31,14,1.2,8,0,1753,1753,268,225.10142388274122,8.128135
31,14,1.2,8,0,1764,1764,472,202.8420177911876,3.7270174
31,14,1.2,8,0,1706,1706,450,214.89735345931138,4.415324
31,14,1.2,8,0,1730,1730,362,201.92950077628814,6.5108867
31,14,1.2,8,0,1759,1759,423,227.33773032986002,4.641273
31,14,1.2,8,0,1706,1706,274,198.52930675607737,8.843406
31,14,1.2,8,0,1750,1750,326,215.33609175743564,6.2605247
